,Tickets,Weights
0,OR.PA,0.125
1,ASML.AS,0.125
2,SAP.DE,0.125
3,BNP.PA,0.125
4,AIR.PA,0.125
5,BAS.DE,0.125
6,SIE.DE,0.125
7,VOW3.DE,0.125
